Code_commune_INSEE,Nom_commune,Code_postal,Ligne_5,Libellé_d_acheminement,coordonnees_geographiques_x,coordonnees_geographiques_y
25621,VILLENEUVE D AMONT,25270,,VILLENEUVE D AMONT,46.939190913,6.041329602
25626,VILLERS ST MARTIN,25110,,VILLERS ST MARTIN,47.342682683,6.404682732
25629,VOILLANS,25110,,VOILLANS,47.390909437,6.417409525
25631,VORGES LES PINS,25320,,VORGES LES PINS,47.152865779,5.929327835
26001,SOLAURE EN DIOIS,26150,MOLIERES GLANDAZ,SOLAURE EN DIOIS,44.70587354,5.387770455
26002,ALBON,26140,,ALBON,45.238965428,4.8623533
26004,ALIXAN,26300,,ALIXAN,44.98219132,5.0170743
26006,ALLEX,26400,,ALLEX,44.766590378,4.915090897
26008,ANCONE,26200,,ANCONE,44.579727269,4.720685488
26015,AUBENASSON,26340,,AUBENASSON,44.678375902,5.145299048
26017,AUCELON,26340,,AUCELON,44.617229624,5.354420073
26019,AUREL,26340,,AUREL,44.692550127,5.298216219
26023,BARBIERES,26300,,BARBIERES,44.940330467,5.162181981
26045,LA BEGUDE DE MAZENC,26160,,LA BEGUDE DE MAZENC,44.552738534,4.930887196
26046,BELLECOMBE TARENDOL,26110,,BELLECOMBE TARENDOL,44.356480253,5.355333586
26047,BELLEGARDE EN DIOIS,26470,,BELLEGARDE EN DIOIS,44.53702742,5.433848063
26057,BOURG DE PEAGE,26300,,BOURG DE PEAGE,45.017199056,5.050587086
26066,LE CHAFFAL,26190,LA VACHERIE,LE CHAFFAL,44.873527478,5.178527282
26072,CHANTEMERLE LES BLES,26600,,CHANTEMERLE LES BLES,45.123167248,4.889283919
26073,CHANTEMERLE LES GRIGNAN,26230,,CHANTEMERLE LES GRIGNAN,44.405230957,4.83486248
26074,LA CHAPELLE EN VERCORS,26420,,LA CHAPELLE EN VERCORS,44.972454641,5.412415737
26081,CHATEAUDOUBLE,26120,,CHATEAUDOUBLE,44.899415735,5.091112424
26084,CHATEAUNEUF SUR ISERE,26300,,CHATEAUNEUF SUR ISERE,45.009701742,4.95266081
26086,CHATILLON EN DIOIS,26410,,CHATILLON EN DIOIS,44.727672729,5.527827656
26091,CHAUVAC LAUX MONTAUX,26510,,CHAUVAC LAUX MONTAUX,44.322265379,5.534292917
26095,CLEON D ANDRAN,26450,,CLEON D ANDRAN,44.609653663,4.933179205
26100,COMBOVIN,26120,,COMBOVIN,44.858261815,5.107865224
26106,LA COUCOURDE,26740,,LA COUCOURDE,44.642096049,4.786706013
26121,ESPELUCHE,26780,,ESPELUCHE,44.521645484,4.822581256
26123,ESTABLET,26470,,ESTABLET,44.502100231,5.440074363
26133,FAY LE CLOS,26240,,FAY LE CLOS,45.219971752,4.907053863
26136,VAL MARAVEL,26310,LA BATIE CREMEZIN,VAL MARAVEL,44.591680075,5.587222071
26141,GIGORS ET LOZERON,26400,,GIGORS ET LOZERON,44.811121636,5.11304389
26143,LE GRAND SERRE,26530,,LE GRAND SERRE,45.262861324,5.102368473
26153,LABOREL,26560,,LABOREL,44.288838371,5.5917204
26157,LA LAUPIE,26740,,LA LAUPIE,44.608589895,4.850861025
26161,LEMPS,26510,,LEMPS,44.352999943,5.412762531
26177,MARSAZ,26260,,MARSAZ,45.12113807,4.932374556
26179,MERCUROL VEAUNES,26600,MERCUROL,MERCUROL VEAUNES,45.073343809,4.895066854
26186,MISCON,26310,,MISCON,44.624590817,5.514587648
26188,MOLLANS SUR OUVEZE,26170,,MOLLANS SUR OUVEZE,44.234147241,5.194336753
26189,MONTAUBAN SUR L OUVEZE,26170,,MONTAUBAN SUR L OUVEZE,44.277421546,5.518411381
26193,MONTBRUN LES BAINS,26570,,MONTBRUN LES BAINS,44.187645724,5.434118057
26194,MONTCHENU,26350,,MONTCHENU,45.192136898,5.039199745
26206,MONTMEYRAN,26120,,MONTMEYRAN,44.836249738,4.984959341
26210,VALHERBASSE,26350,ST BONNET DE VALCLERIEUX,VALHERBASSE,45.216168208,5.138541371
26216,ST JEAN DE GALAURE,26240,LA MOTTE DE GALAURE,ST JEAN DE GALAURE,45.199048283,4.900813422
26217,LA MOTTE FANJAS,26190,,LA MOTTE FANJAS,45.045129528,5.270267536
26232,PEYRUS,26120,,PEYRUS,44.906823943,5.121979717
26240,PLAN DE BAIX,26400,,PLAN DE BAIX,44.825458528,5.166143942
26244,LE POET SIGILLAT,26110,,LE POET SIGILLAT,44.363093348,5.317709147
26245,POMMEROL,26470,,POMMEROL,44.43745618,5.464984618
26250,PONT DE L ISERE,26600,,PONT DE L ISERE,45.015570385,4.881180848
26253,POYOLS,26310,,POYOLS,44.597566104,5.41795217
26254,PRADELLE,26340,,PRADELLE,44.620530532,5.281429523
26255,LES PRES,26310,,LES PRES,44.534733176,5.575899503
26256,PROPIAC,26170,,PROPIAC,44.276557031,5.208906155
26266,RIMON ET SAVEL,26340,,RIMON ET SAVEL,44.662508671,5.311467495
26267,RIOMS,26170,,RIOMS,44.269840529,5.46053578
26269,ROCHEBRUNE,26110,,ROCHEBRUNE,44.326473708,5.236836652
26272,ROCHEFORT EN VALDAINE,26160,,ROCHEFORT EN VALDAINE,44.512410099,4.857917615
26274,ROCHEFOURCHAT,26340,,ROCHEFOURCHAT,44.605030949,5.24148601
26275,ROCHEGUDE,26790,,ROCHEGUDE,44.255746777,4.83722901
26282,ROMEYER,26150,,ROMEYER,44.792569637,5.435880285
26290,ST AGNAN EN VERCORS,26420,ROUSSET EN VERCORS,ST AGNAN EN VERCORS,44.89747752,5.441704074
26301,ST DONAT SUR L HERBASSE,26260,,ST DONAT SUR L HERBASSE,45.126257381,4.984066188
26303,STE EUPHEMIE SUR OUVEZE,26170,,STE EUPHEMIE SUR OUVEZE,44.301023786,5.391450853
26310,ST LAURENT D ONAY,26350,,ST LAURENT D ONAY,45.178630298,5.11075685
26314,ST MARTIN D AOUT,26330,,ST MARTIN D AOUT,45.222341534,4.986988356
26316,ST MARTIN LE COLONEL,26190,,ST MARTIN LE COLONEL,44.984952881,5.279816579
26318,ST MAY,26510,,ST MAY,44.424391774,5.32965711
26321,ST NAZAIRE LE DESERT,26340,,ST NAZAIRE LE DESERT,44.559870821,5.270880675
26335,SALLES SOUS BOIS,26770,,SALLES SOUS BOIS,44.470312181,4.939993209
26336,SAOU,26400,,SAOU,44.646910202,5.111245681
26337,SAULCE SUR RHONE,26270,LES REYS DE SAULCE,SAULCE SUR RHONE,44.704316221,4.790526886
26340,SEDERON,26560,,SEDERON,44.197546639,5.554552515
26347,TAIN L HERMITAGE,26600,,TAIN L HERMITAGE,45.070563152,4.850662623
26351,LES TONILS,26460,,LES TONILS,44.586194553,5.209875531
26376,VILLEPERDRIX,26510,,VILLEPERDRIX,44.455598967,5.299777047
27003,ACQUIGNY,27400,,ACQUIGNY,49.164558704,1.176307129
27003,ACQUIGNY,27400,LES PLANCHES,ACQUIGNY,49.164558704,1.176307129
27006,AIZIER,27500,,AIZIER,49.43028264,0.626144533
27013,AMFREVILLE SOUS LES MONTS,27380,,AMFREVILLE SOUS LES MONTS,49.30232703,1.267574638
27015,ANDE,27430,,ANDE,49.227801894,1.244586862
27016,LES ANDELYS,27700,,LES ANDELYS,49.245633495,1.428332905
27022,LE VAL D HAZEY,27600,STE BARBE SUR GAILLON,LE VAL D HAZEY,49.170308197,1.315259202
27026,AUTHEVERNES,27420,,AUTHEVERNES,49.219144384,1.63344224
27027,LES AUTHIEUX,27220,,LES AUTHIEUX,48.898213311,1.23489684
27035,BAILLEUL LA VALLEE,27260,,BAILLEUL LA VALLEE,49.196580145,0.432379377
27049,MESNIL EN OUCHE,27270,LA ROUSSIERE,MESNIL EN OUCHE,48.984169237,0.663553111
27049,MESNIL EN OUCHE,27330,BOSC RENOULT EN OUCHE,MESNIL EN OUCHE,48.984169237,0.663553111
27049,MESNIL EN OUCHE,27330,GISAY LA COUDRE,MESNIL EN OUCHE,48.984169237,0.663553111
27051,BEAUMONT LE ROGER,27170,,BEAUMONT LE ROGER,49.059418057,0.754019755
27054,BEMECOURT,27160,,BEMECOURT,48.843322706,0.848442288
27058,LES TROIS LACS,27940,VENABLES,LES TROIS LACS,49.216913483,1.333285694
27062,LES MONTS DU ROUMOIS,27370,HOULBEC PRES LE GROS THEIL,LES MONTS DU ROUMOIS,49.27651548,0.835570424
27063,BERVILLE LA CAMPAGNE,27170,,BERVILLE LA CAMPAGNE,49.026401816,0.893596969
27064,BERVILLE SUR MER,27210,,BERVILLE SUR MER,49.432004743,0.356984305
27067,BEZU ST ELOI,27660,,BEZU ST ELOI,49.304450739,1.683265455
27068,BOIS ANZERAY,27330,,BOIS ANZERAY,48.926456706,0.691733494
27069,BOIS ARNAULT,27250,,BOIS ARNAULT,48.816363058,0.74760306
27070,FRENELLES EN VEXIN,27700,FRESNE L ARCHEVEQUE,FRENELLES EN VEXIN,49.2889141,1.454549128
27073,BOIS LE ROI,27220,,BOIS LE ROI,48.861015686,1.341152066
27075,BOIS NORMAND PRES LYRE,27330,,BOIS NORMAND PRES LYRE,48.900520521,0.693381946
27083,BONNEVILLE APTOT,27290,,BONNEVILLE APTOT,49.259204909,0.751793145
27090,BOSROUMOIS,27670,BOSNORMAND,BOSROUMOIS,49.289300303,0.918875122
27096,LES BOTTEREAUX,27250,LES FRETILS,LES BOTTEREAUX,48.8713079,0.676368454
27105,GRAND BOURGTHEROULDE,27520,BOURGTHEROULDE INFREVILLE,GRAND BOURGTHEROULDE,49.306375612,0.861932711
